日期,温度 (°C),湿度 (%),风速 (km/h),气压 (hPa),目标天气状况
2024/1/1,15,30,10,1012,晴天
2024/1/2,16,35,12,1010,晴天
2024/1/3,14,70,8,1008,阴天
2024/1/4,12,85,5,1005,雨天
2024/1/5,8,90,4,1003,雪天
2024/1/6,10,75,15,1002,阴天
2024/1/7,11,60,10,1005,晴天
2024/1/8,9,80,20,1000,雨天
2024/1/9,7,95,5,998,雪天
2024/1/10,10,50,12,1007,晴天
2024/1/11,13,65,14,1009,阴天
2024/1/12,15,30,10,1012,晴天
2024/1/13,17,40,9,1011,晴天
2024/1/14,18,45,11,1007,雨天
2024/1/15,19,55,8,1008,雨天
2024/1/16,16,80,7,1004,雪天
2024/1/17,14,70,10,1006,阴天
2024/1/18,11,65,12,1007,晴天
2024/1/19,13,75,15,1002,雨天
2024/1/20,10,85,4,1003,雪天
2024/1/21,12,90,6,1005,雨天
2024/1/22,9,80,10,1001,雪天
2024/1/23,7,95,5,998,雪天
2024/1/24,8,85,3,1000,雨天
2024/1/25,11,50,12,1006,晴天
2024/1/26,10,55,9,1008,阴天
2024/1/27,12,60,11,1009,晴天
2024/1/28,15,35,10,1011,晴天
2024/1/29,17,45,8,1007,雨天
2024/1/30,14,50,12,1005,阴天
